#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/18,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.98;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
119.9;12;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
179.63;13;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
239.77;8;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/16,Rest/0
299.78;10;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
359.86;11;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
419.81;13;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
479.66;9;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
539.99;10;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
599.84;10;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
659.96;13;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
719.93;13;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
779.98;10;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
839.98;10;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
899.91;12;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
959.92;11;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
1019.87;9;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
1079.96;9;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/16,Rest/0
1139.72;5;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/16,Rest/0
1199.82;7;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
1259.82;6;None/0,ParkPod/6,RepositionPod/0,Insert/0,Extract/12,Rest/0
1319.67;0;None/0,ParkPod/4,RepositionPod/0,Insert/0,Extract/1,Rest/13
1379.95;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/0,Rest/17
1439.99;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1499.83;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1559.72;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1619.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1680;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1739.71;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1799.6;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1859.96;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
