#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/18,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.81;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
120;8;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
179.93;8;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
239.79;7;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
299.98;11;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
359.58;13;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
419.87;10;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
479.6;10;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
539.72;12;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
599.9;8;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
659.86;10;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/15,Rest/0
719.82;4;None/0,ParkPod/7,RepositionPod/0,Insert/0,Extract/4,Rest/7
779.77;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/0,Rest/16
839.98;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
899.78;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
959.7;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1019.96;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1079.88;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1139.98;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1199.68;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1259.6;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1319.95;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1379.97;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1439.75;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1499.67;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
1559.6;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
